window,window_start_s,packet_count,mean_pkt_size,var_pkt_size,total_bytes,unique_dst_ports,unique_src_dst_pairs,tcp_ratio,udp_ratio,icmp_ratio,syn_ratio,ground_truth
0,0.0,7,525.5714285714286,124711.95918367348,3679,3,6,1.0,0.0,0.0,0.2857142857142857,normal
1,1.0,7,359.7142857142857,43142.77551020408,2518,3,7,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,normal
2,2.0,14,606.9285714285714,171340.92346938775,8497,5,14,0.8571428571428571,0.07142857142857142,0.07142857142857142,0.14285714285714285,normal
3,3.0,7,440.85714285714283,45656.40816326531,3086,4,7,1.0,0.0,0.0,0.42857142857142855,normal
4,4.0,10,313.5,44395.05,3135,4,10,0.8,0.2,0.0,0.1,normal
5,5.0,7,744.1428571428571,118975.26530612247,5209,3,7,1.0,0.0,0.0,0.2857142857142857,normal
6,6.0,5,679.6,185379.03999999998,3398,2,4,1.0,0.0,0.0,0.2,normal
7,7.0,12,460.8333333333333,158293.97222222222,5530,3,12,0.8333333333333334,0.16666666666666666,0.0,0.16666666666666666,normal
8,8.0,6,708.0,118025.66666666667,4248,4,6,0.8333333333333334,0.16666666666666666,0.0,0.0,normal
9,9.0,11,539.7272727272727,137328.01652892563,5937,5,11,0.9090909090909091,0.09090909090909091,0.0,0.2727272727272727,normal
10,10.0,8,644.25,121662.9375,5154,4,8,0.75,0.25,0.0,0.125,normal
11,11.0,11,456.3636363636364,123619.86776859505,5020,5,11,0.8181818181818182,0.18181818181818182,0.0,0.18181818181818182,normal
12,12.0,9,701.4444444444445,129292.24691358022,6313,5,9,1.0,0.0,0.0,0.0,normal
13,13.0,6,692.6666666666666,120089.55555555556,4156,4,6,1.0,0.0,0.0,0.16666666666666666,normal
14,14.0,7,437.42857142857144,166963.95918367346,3062,3,7,0.5714285714285714,0.42857142857142855,0.0,0.14285714285714285,normal
15,15.0,12,704.75,96204.52083333333,8457,4,11,1.0,0.0,0.0,0.25,normal
16,16.0,4,959.75,21958.6875,3839,3,4,1.0,0.0,0.0,0.25,normal
17,17.0,11,535.6363636363636,147851.14049586776,5892,5,9,0.9090909090909091,0.0,0.09090909090909091,0.09090909090909091,normal
18,18.0,7,579.8571428571429,183055.83673469388,4059,3,7,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,normal
19,19.0,13,487.7692307692308,134536.79289940826,6341,4,13,0.8461538461538461,0.07692307692307693,0.07692307692307693,0.15384615384615385,normal
20,20.0,8,718.25,145745.1875,5746,4,8,0.875,0.125,0.0,0.25,normal
21,21.0,9,480.3333333333333,167633.77777777784,4323,4,8,0.6666666666666666,0.1111111111111111,0.2222222222222222,0.1111111111111111,normal
22,22.0,6,524.3333333333334,205044.88888888888,3146,4,6,1.0,0.0,0.0,0.6666666666666666,normal
23,23.0,6,787.8333333333334,201743.13888888888,4727,3,6,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,normal
24,24.0,13,543.8461538461538,133793.51479289943,7070,5,11,0.8461538461538461,0.15384615384615385,0.0,0.23076923076923078,normal
25,25.0,10,692.9,118873.69000000002,6929,5,10,1.0,0.0,0.0,0.2,normal
26,26.0,4,730.0,140313.5,2920,4,4,0.75,0.25,0.0,0.25,normal
27,27.0,10,608.8,146910.75999999998,6088,4,10,0.8,0.2,0.0,0.3,normal
28,28.0,5,801.2,42954.159999999996,4006,3,5,1.0,0.0,0.0,0.2,normal
29,29.0,3,763.6666666666666,11744.888888888889,2291,2,3,1.0,0.0,0.0,0.6666666666666666,normal
30,30.0,8,666.75,125103.1875,5334,3,8,0.875,0.125,0.0,0.25,normal
31,31.0,5,803.0,68016.4,4015,2,5,1.0,0.0,0.0,0.0,normal
32,32.0,7,255.0,24391.14285714286,1785,5,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.2857142857142857,normal
33,33.0,5,649.8,221743.36000000002,3249,3,5,1.0,0.0,0.0,0.4,normal
34,34.0,7,679.5714285714286,76719.38775510204,4757,3,7,0.8571428571428571,0.0,0.14285714285714285,0.2857142857142857,normal
35,35.0,13,474.46153846153845,100728.86390532546,6168,5,12,0.9230769230769231,0.07692307692307693,0.0,0.23076923076923078,normal
36,36.0,12,629.5833333333334,176230.24305555553,7555,4,11,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,normal
37,37.0,8,544.625,126492.984375,4357,5,7,0.75,0.25,0.0,0.125,normal
38,38.0,8,412.0,67836.25,3296,4,8,1.0,0.0,0.0,0.25,normal
39,39.0,6,425.6666666666667,218986.22222222216,2554,5,5,0.8333333333333334,0.16666666666666666,0.0,0.0,normal
40,40.0,14,633.0,137311.42857142858,8862,5,14,0.8571428571428571,0.14285714285714285,0.0,0.07142857142857142,normal
41,41.0,11,612.5454545454545,140095.52066115703,6738,5,11,0.8181818181818182,0.09090909090909091,0.09090909090909091,0.2727272727272727,normal
42,42.0,9,622.2222222222222,117935.28395061727,5600,4,9,0.8888888888888888,0.0,0.1111111111111111,0.0,normal
43,43.0,5,649.8,189089.75999999998,3249,3,5,1.0,0.0,0.0,0.6,normal
44,44.0,12,413.5,129861.91666666667,4962,6,12,0.75,0.08333333333333333,0.16666666666666666,0.3333333333333333,normal
45,45.0,8,936.125,15467.859375,7489,5,8,1.0,0.0,0.0,0.0,normal
46,46.0,4,416.0,139451.0,1664,2,4,0.5,0.5,0.0,0.0,normal
47,47.0,7,387.0,156348.57142857142,2709,2,7,0.5714285714285714,0.42857142857142855,0.0,0.0,normal
48,48.0,7,584.7142857142857,208989.6326530612,4093,5,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.42857142857142855,normal
49,49.0,7,519.2857142857143,234532.20408163266,3635,5,7,0.8571428571428571,0.14285714285714285,0.0,0.42857142857142855,normal
50,50.0,7,701.2857142857143,164744.20408163266,4909,3,7,0.8571428571428571,0.14285714285714285,0.0,0.42857142857142855,normal
51,51.0,9,668.1111111111111,203211.87654320986,6013,4,9,0.8888888888888888,0.1111111111111111,0.0,0.0,normal
52,52.0,11,526.9090909090909,153721.35537190086,5796,4,9,0.7272727272727273,0.2727272727272727,0.0,0.09090909090909091,normal
53,53.0,7,799.5714285714286,64238.5306122449,5597,4,7,1.0,0.0,0.0,0.2857142857142857,normal
54,54.0,2,541.5,44732.25,1083,1,2,1.0,0.0,0.0,0.5,normal
55,55.0,14,680.0,121841.14285714286,9520,3,12,1.0,0.0,0.0,0.14285714285714285,normal
56,56.0,6,886.1666666666666,149554.80555555553,5317,3,6,0.8333333333333334,0.16666666666666666,0.0,0.0,normal
57,57.0,4,666.25,98085.6875,2665,3,4,1.0,0.0,0.0,0.25,normal
58,58.0,4,472.75,103110.6875,1891,4,4,0.75,0.0,0.25,0.25,normal
59,59.0,7,773.7142857142857,130129.0612244898,5416,3,6,0.8571428571428571,0.14285714285714285,0.0,0.2857142857142857,normal
60,60.0,7,438.0,136104.85714285713,3066,4,7,0.8571428571428571,0.14285714285714285,0.0,0.2857142857142857,normal
61,61.0,9,507.3333333333333,70417.11111111111,4566,4,9,0.8888888888888888,0.1111111111111111,0.0,0.3333333333333333,normal
62,62.0,3,296.6666666666667,121056.88888888888,890,3,3,0.6666666666666666,0.0,0.3333333333333333,0.3333333333333333,normal
63,63.0,7,776.4285714285714,67399.67346938777,5435,5,7,1.0,0.0,0.0,0.42857142857142855,normal
64,64.0,4,758.25,119390.6875,3033,4,4,1.0,0.0,0.0,0.5,normal
65,65.0,6,482.8333333333333,150343.1388888889,2897,5,6,0.8333333333333334,0.0,0.16666666666666666,0.5,normal
66,66.0,6,526.1666666666666,138174.80555555553,3157,5,6,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,normal
67,67.0,7,644.8571428571429,138683.83673469388,4514,3,7,0.8571428571428571,0.14285714285714285,0.0,0.2857142857142857,normal
68,68.0,1,872.0,0.0,872,1,1,1.0,0.0,0.0,0.0,normal
69,69.0,3,360.6666666666667,60757.55555555556,1082,3,3,0.6666666666666666,0.3333333333333333,0.0,0.0,normal
70,70.0,6,515.6666666666666,191957.55555555553,3094,2,6,0.6666666666666666,0.3333333333333333,0.0,0.16666666666666666,normal
71,71.0,10,533.2,116786.36000000002,5332,5,9,0.8,0.2,0.0,0.3,normal
72,72.0,8,408.125,99855.109375,3265,4,8,0.875,0.125,0.0,0.125,normal
73,73.0,12,689.6666666666666,157480.05555555553,8276,2,11,0.8333333333333334,0.16666666666666666,0.0,0.08333333333333333,normal
74,74.0,6,475.1666666666667,89140.47222222223,2851,4,6,0.8333333333333334,0.16666666666666666,0.0,0.3333333333333333,normal
75,75.0,4,509.25,89458.6875,2037,3,4,1.0,0.0,0.0,0.25,normal
76,76.0,15,555.9333333333333,160600.06222222222,8339,5,13,0.9333333333333333,0.06666666666666667,0.0,0.26666666666666666,normal
77,77.0,18,408.8333333333333,98878.91666666666,7359,5,17,0.7777777777777778,0.1111111111111111,0.1111111111111111,0.2777777777777778,normal
78,78.0,5,762.0,133614.8,3810,3,5,1.0,0.0,0.0,0.0,normal
79,79.0,12,669.0833333333334,111418.24305555556,8029,6,12,0.8333333333333334,0.08333333333333333,0.08333333333333333,0.16666666666666666,normal
80,80.0,14,587.2857142857143,121803.20408163265,8222,6,14,0.9285714285714286,0.0,0.07142857142857142,0.35714285714285715,normal
81,81.0,9,523.3333333333334,179549.1111111111,4710,3,7,0.7777777777777778,0.2222222222222222,0.0,0.3333333333333333,normal
82,82.0,8,343.5,98234.25,2748,6,8,0.625,0.25,0.125,0.0,normal
83,83.0,13,697.0769230769231,84149.30177514792,9062,4,12,1.0,0.0,0.0,0.38461538461538464,normal
84,84.0,4,484.0,126341.0,1936,3,4,1.0,0.0,0.0,0.0,normal
85,85.0,8,544.875,186540.109375,4359,3,8,0.625,0.375,0.0,0.125,normal
86,86.0,15,702.0,153246.8,10530,6,14,0.9333333333333333,0.0,0.06666666666666667,0.13333333333333333,normal
87,87.0,7,681.5714285714286,167190.81632653062,4771,4,7,0.8571428571428571,0.14285714285714285,0.0,0.0,normal
88,88.0,7,473.2857142857143,173315.91836734695,3313,3,7,0.8571428571428571,0.14285714285714285,0.0,0.2857142857142857,normal
89,89.0,4,681.25,159634.1875,2725,3,4,1.0,0.0,0.0,0.0,normal
90,90.0,11,710.4545454545455,147985.70247933883,7815,4,11,1.0,0.0,0.0,0.09090909090909091,normal
91,91.0,8,456.25,29453.6875,3650,4,8,1.0,0.0,0.0,0.375,normal
92,92.0,9,660.1111111111111,64975.654320987655,5941,4,9,0.8888888888888888,0.1111111111111111,0.0,0.2222222222222222,normal
93,93.0,7,747.5714285714286,215956.81632653062,5233,4,7,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,normal
94,94.0,8,771.25,89330.9375,6170,5,8,1.0,0.0,0.0,0.75,normal
95,95.0,8,662.875,86630.109375,5303,4,7,1.0,0.0,0.0,0.125,normal
96,96.0,9,515.7777777777778,90919.06172839506,4642,4,9,0.8888888888888888,0.1111111111111111,0.0,0.4444444444444444,normal
97,97.0,9,470.55555555555554,81043.13580246914,4235,5,8,0.7777777777777778,0.2222222222222222,0.0,0.1111111111111111,normal
98,98.0,7,512.4285714285714,170568.2448979592,3587,5,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,normal
99,99.0,7,530.4285714285714,55975.959183673476,3713,5,7,1.0,0.0,0.0,0.0,normal
100,100.0,5,681.0,116650.0,3405,4,5,1.0,0.0,0.0,0.0,normal
101,101.0,5,528.4,71918.23999999999,2642,2,5,0.8,0.2,0.0,0.2,normal
102,102.0,10,436.3,153281.61000000002,4363,4,9,0.6,0.4,0.0,0.2,normal
103,103.0,11,627.0909090909091,93607.71900826447,6898,5,9,0.9090909090909091,0.09090909090909091,0.0,0.2727272727272727,normal
104,104.0,9,384.6666666666667,32804.666666666664,3462,3,9,0.8888888888888888,0.1111111111111111,0.0,0.2222222222222222,normal
105,105.0,4,513.25,179592.1875,2053,3,4,1.0,0.0,0.0,0.25,normal
106,106.0,11,457.3636363636364,66610.04958677686,5031,4,11,0.8181818181818182,0.18181818181818182,0.0,0.09090909090909091,normal
107,107.0,11,649.6363636363636,131652.23140495867,7146,5,10,1.0,0.0,0.0,0.0,normal
108,108.0,12,448.6666666666667,120563.55555555555,5384,4,12,0.75,0.25,0.0,0.16666666666666666,normal
109,109.0,11,689.5454545454545,130069.15702479339,7585,4,9,0.9090909090909091,0.09090909090909091,0.0,0.18181818181818182,normal
110,110.0,13,528.7692307692307,176959.40828402367,6874,5,13,0.7692307692307693,0.23076923076923078,0.0,0.0,normal
111,111.0,9,799.6666666666666,156204.88888888888,7197,3,9,0.8888888888888888,0.1111111111111111,0.0,0.1111111111111111,normal
112,112.0,6,660.5,14757.916666666666,3963,4,6,1.0,0.0,0.0,0.16666666666666666,normal
113,113.0,11,662.7272727272727,181040.92561983468,7290,5,10,0.7272727272727273,0.18181818181818182,0.09090909090909091,0.18181818181818182,normal
114,114.0,6,408.1666666666667,157599.47222222222,2449,4,6,0.8333333333333334,0.16666666666666666,0.0,0.0,normal
115,115.0,10,408.8,110458.56000000001,4088,5,9,0.8,0.1,0.1,0.4,normal
116,116.0,6,743.0,155521.33333333334,4458,3,6,1.0,0.0,0.0,0.16666666666666666,normal
117,117.0,14,634.2142857142857,159429.02551020408,8879,5,14,0.9285714285714286,0.07142857142857142,0.0,0.07142857142857142,normal
118,118.0,9,583.7777777777778,109884.83950617284,5254,5,9,1.0,0.0,0.0,0.4444444444444444,normal
119,119.0,12,862.3333333333334,118984.05555555555,10348,5,12,1.0,0.0,0.0,0.16666666666666666,normal
120,120.0,8,554.625,144678.484375,4437,3,8,0.875,0.125,0.0,0.375,normal
121,121.0,7,502.0,144047.42857142858,3514,4,7,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.14285714285714285,normal
122,122.0,8,449.375,148568.984375,3595,5,8,0.875,0.0,0.125,0.125,normal
123,123.0,3,821.0,69568.66666666667,2463,3,3,1.0,0.0,0.0,0.3333333333333333,normal
124,124.0,7,530.7142857142857,119818.48979591837,3715,3,7,1.0,0.0,0.0,0.2857142857142857,normal
125,125.0,3,373.3333333333333,103524.22222222223,1120,3,3,1.0,0.0,0.0,0.3333333333333333,normal
126,126.0,7,517.5714285714286,217664.8163265306,3623,2,7,0.7142857142857143,0.2857142857142857,0.0,0.2857142857142857,normal
127,127.0,12,527.25,139514.6875,6327,4,12,0.8333333333333334,0.16666666666666666,0.0,0.25,normal
128,128.0,8,745.625,101735.734375,5965,4,7,0.875,0.125,0.0,0.375,normal
129,129.0,3,744.0,240308.66666666666,2232,3,3,0.6666666666666666,0.3333333333333333,0.0,0.0,normal
130,130.0,6,610.0,76307.0,3660,3,6,1.0,0.0,0.0,0.3333333333333333,normal
131,131.0,5,530.2,106907.76000000001,2651,4,5,0.8,0.2,0.0,0.4,normal
132,132.0,10,589.9,158116.49,5899,5,10,0.9,0.1,0.0,0.1,normal
133,133.0,8,659.875,164191.609375,5279,5,8,0.875,0.0,0.125,0.0,normal
134,134.0,5,436.6,162739.03999999998,2183,4,5,0.8,0.0,0.2,0.6,normal
135,135.0,5,459.6,197895.44,2298,3,5,0.6,0.4,0.0,0.2,normal
136,136.0,9,590.8888888888889,127834.09876543208,5318,3,9,0.8888888888888888,0.1111111111111111,0.0,0.1111111111111111,normal
137,137.0,2,88.5,12.25,177,1,2,0.0,1.0,0.0,0.0,normal
138,138.0,10,599.3,148877.21000000002,5993,4,10,0.9,0.0,0.1,0.2,normal
139,139.0,7,358.42857142857144,69838.5306122449,2509,4,7,0.7142857142857143,0.2857142857142857,0.0,0.14285714285714285,normal
