timestamp,src_ip,dst_ip,src_port,dst_port,proto,tcp_flags,size_bytes,label
0.05865851124710739,10.0.1.13,93.184.1.10,17073,443,TCP,A,249,normal
0.43492369011179755,10.0.1.27,93.184.1.10,3106,443,TCP,S,487,normal
0.5995169018049787,10.0.1.17,93.184.5.10,37805,443,TCP,FA,491,normal
0.7136347210269729,10.0.1.24,93.184.5.10,57994,443,TCP,A,905,normal
0.7348378298347662,10.0.1.20,93.184.3.10,63755,123,TCP,PA,249,normal
0.7560373663240918,10.0.1.12,93.184.4.10,56565,443,TCP,PA,128,normal
0.7635172124001769,10.0.1.24,93.184.5.10,61467,80,TCP,S,1170,normal
1.0149210704601694,10.0.1.19,93.184.5.10,24724,53,UDP,,121,normal
1.1298063396635776,10.0.1.16,93.184.1.10,15959,123,TCP,PA,203,normal
1.2837125973766514,10.0.1.17,93.184.1.10,30738,53,TCP,PA,373,normal
1.2863125108765439,10.0.1.21,93.184.3.10,18520,53,TCP,S,390,normal
1.7242571952713328,10.0.1.27,93.184.2.10,25891,443,TCP,A,704,normal
1.9475608881906672,10.0.1.11,93.184.2.10,53783,443,TCP,FA,588,normal
1.9773968413467855,10.0.1.12,93.184.2.10,38194,53,UDP,,139,normal
2.0024817149404934,10.0.1.20,93.184.2.10,26952,53,TCP,FA,332,normal
2.0278081427945254,10.0.1.18,93.184.2.10,37813,22,TCP,PA,1237,normal
2.073152358977085,10.0.1.23,93.184.5.10,15397,443,TCP,FA,226,normal
2.1661433378346917,10.0.1.11,93.184.1.10,11508,123,TCP,FA,170,normal
2.236835471182234,10.0.1.22,93.184.4.10,31698,22,TCP,PA,1173,normal
2.2798633452514765,10.0.1.10,93.184.1.10,36214,123,TCP,PA,736,normal
2.3981597044889513,10.0.1.13,93.184.3.10,30759,443,TCP,PA,1065,normal
2.4169390205798686,10.0.1.15,93.184.5.10,58074,53,UDP,,128,normal
2.460128459580169,10.0.1.19,93.184.5.10,11040,443,TCP,A,1144,normal
2.517163111857775,10.0.1.26,93.184.1.10,33045,443,TCP,S,783,normal
2.593279947840247,10.0.1.19,93.184.2.10,58565,22,TCP,S,215,normal
2.785521949219111,10.0.1.25,93.184.1.10,35935,0,ICMP,,28,normal
